protein
Q9NVR0
Q9H6S3
A8MXT2
P61024
Q96JB8
Q13368
A8MT19
Q8IUZ0
Q96AY4
Q38SD2
Q8TF64
Q7Z3J3
Q2TBA0
Q92529
Q96MG7
Q9NRF2
Q9Y2H0
A6NIV6
Q96CX6
Q9UNH6
O15117
P62258
P43487
A0A1B0GVX0
Q9BZ68
Q8N7X4
P46108
O60664
Q9BV99
Q5T2T1
Q8NAB2
Q96GI7
Q99541
Q8WUY9
Q8NHQ8
Q8WXI3
Q9Y5X2
P43359
Q9Y639
Q8N5I3
Q9ULZ2
Q6ZWB6
Q9UHR4
Q8IY47
Q8TE67
Q9BQ95
P43362
Q8TDY2
P98082
Q6ZT52
Q9BZ67
A4D1F6
Q96CX2
Q8WWW8
Q8NCJ5
Q9H4E7
O60732
B5MCY1
Q86V97
P63104
Q9Y3P8
Q4G0X4
Q9Y6Y9
Q9NZQ3
Q96PQ7
Q5VWJ9
O14640
Q96L14
Q15404
Q86WH2
A6NEE1
Q99608
O43597
Q12788
A2A368
Q8TE68
Q3KP44
Q8WUQ7
Q9UMX1
Q12929
O43639
Q9BRP4
Q8WV41
O14641
O00463
A0PJX4
Q6PF15
Q15700
Q9UQF2
Q8TDW0
Q13387
Q13322
Q9P055
Q9BYS8
Q9ULJ7
Q6ZU65
Q9BPZ7
Q00G26
Q9BYB4
Q9Y573
Q8N3P4
Q9Y297
Q6ZTQ3
Q96NW7
Q9Y228
Q9UNH7
Q14BN4
O15169
Q9Y5V3
A6NCF6
Q96F07
Q9P2G9
O14936
Q719H9
Q8IUC4
Q9NWT1
Q8WX93
Q96L50
Q7Z698
P54792
Q9UQC2
Q64LD2
Q6SZW1
Q12959
P07988
O43914
Q96QD5
P51636
Q96DD7
Q9BUZ4
Q8NB46
P0DJD0
Q13939
O75643
Q96RT1
P49407
Q9Y6Y0
A0A0J9YX57
Q8N2C3
Q5VSY0
Q7L8J4
Q8N3R9
Q9UBP9
Q8N1F8
Q9BSF0
O14715
Q96A59
Q8N336
O95886
O60318
Q7Z5R6
Q9H2C0
Q96L94
O14490
Q9NZU5
Q8NFY9
Q9Y4F5
Q9BXT4
Q92543
Q9UBB6
Q9H305
Q7Z3G6
Q9HAY2
Q8NEU8
Q8IUI4
Q6ZV89
O94986
P49792
Q8TBC3
Q9UGP8
Q8TD91
Q96KN7
Q9H6Z4
Q8WXE0
Q5SSJ5
Q7RTR2
Q9NR64
Q92625
Q17RG1
O60828
Q96MS0
Q9UQB8
O75563
Q9BQ13
Q96JJ3
Q9UGI8
Q53G59
A6NKF1
Q9Y2T1
Q8TF65
Q8IZ81
Q5S007
Q9UH65
Q2WGN9
A6NKW6
Q8WZ19
Q9UHD1
Q8NBE8
Q9UKG1
Q8N114
Q6ZNQ3
Q8WXD9
Q9UQ52
O94915
P43361
Q9UNF1
Q12816
P43360
Q9NXS3
Q99836
Q8TCX5
O43609
Q13155
Q8N961
Q04917
P01266
Q96JG8
Q9Y574
Q96MT3
P50552
Q9Y2I1
P43355
O75553
P61981
Q2WGJ6
Q96CT2
Q13077
P43358
O15479
O60662
Q8NHU6
O43823
Q99666
Q7Z4S9
Q6VN20
Q96MP8
Q9Y4K3
P49757
Q8TC17
O75969
Q6YHU6
Q9UJP4
O15480
Q7Z699
Q9NPG3
Q7Z6G8
Q9H400
Q8N2R8
Q5SRD0
A6NK89
P07602
Q8WV28
Q6PI47
Q693B1
Q86UN6
P0DJD1
Q9Y6F6
Q96PV6
Q6JEL2
Q68CZ1
Q9P242
Q9NS23
A6NKT7
P32121
O43734
Q13596
Q8WVF5
Q9HCI5
O60749
O15084
P57105
Q02246
Q9UHA4
Q8WYP5
Q6UWI4
Q8WZ75
Q99732
Q8N3C0
Q8IZP0
P29353
Q9UKA4
Q9H213
Q8N9S9
Q7Z7G1
Q02833
P36575
Q9ULX6
P78352
P43364
Q9H3F6
Q14168
Q5VWT5
Q9H9A6
Q92556
Q8TD84
Q9P1A6
Q9P2E9
O43610
Q13480
Q96DD0
Q08AM6
Q86X40
Q12933
Q8IUC6
P33552
Q8NEN9
Q86VV4
P98077
Q96M61
Q9Y679
Q70E73
Q92997
Q9Y343
A6NC86
Q9Y2W6
Q96L92
Q9BZ81
Q96LZ2
Q03135
O43572
Q6NSJ5
Q9NWX5
Q8TEQ0
Q86TC9
Q6NUJ1
Q6ZVD8
P31946
P10523
Q5SW79
O60469
O60271
Q6S5L8
Q5TBA9
Q6PCB8
Q96S59
Q9Y5W7
Q3SXP7
Q96T76
Q92667
Q5JQC9
Q9Y5W8
Q5VYK3
Q92783
Q9Y4C4
P24588
Q8TD90
P27348
Q8N5H3
Q2M3C7
P50749
Q0ZGT2
Q9P2J2
Q8N8A2
O60346
Q6UX82
Q96QH2
P43366
P31947
Q9Y4E1
Q9P2A4
P04233
Q15036
Q8NC69
O95198
Q8WWZ3
Q13114
P43356
Q96RF0
Q86WV1
Q0D2K2
Q9Y239
Q6ZVC0
Q9UH77
Q8IWV2
Q14145
Q8NAT2
Q969T3
Q05C16
O14908
O75762
Q7Z614
O75886
Q9Y5X1
Q9UKX7
Q4LDG9
Q641Q2
A6QL63
O60239
Q9UQ13
Q9UBF1
Q9C099
Q9C004
Q14764
O94889
Q9UJ55
Q9UKP3
Q86XE0
Q14449
P43363
Q8N8S7
Q6P9F7
Q9BTA9
O14492
Q8N456
Q9NWU2
Q02952
Q9UPT6
Q3ZCT8
O75052
Q6TDP4
O43900
Q9Y597
Q9Y2M5
Q155Q3
Q9NZW5
Q86WI3
Q9H3E2
Q14160
Q587J7
Q9UQQ2
Q13829
P43365
Q92616
A1L170
Q5BKZ1
P43357
Q6TFL4
Q96SI1
Q92796
Q14451
Q9UGK3
Q53EV4
Q68DU8
Q8WVZ9
Q96JN2
Q8IWT6
O60522
Q2MJR0
Q9C0H6
Q6JBY9
O75901
Q96FG2
Q8IXQ5
Q5VZ19
P35613
Q9HB75
Q13094
Q99627
Q9NYB9
Q9Y6R0
Q9HC29
Q86UT6
Q15398
Q6UXY1
A6NM36
P16333
Q7L1W4
Q96BJ8
Q6ZQQ6
Q5SW96
Q7L576
Q96AG4
Q12912
Q9H2L5
P46109
Q8WZ60
O95219
Q8TDM6
Q00013
O00522
Q9UI08
P56539
O15481
Q6UWV7
Q9Y221
Q5TB30
Q8WWW0
Q9Y5X3
